index,result,time(s)
1,10017,1.718033790588379
2,8917,1.5181150436401367
3,10597,2.0048556327819824
4,12197,1.5101377964019775
5,10649,1.6710283756256104
6,9512,1.6210923194885254
7,11312,2.0718021392822266
8,13096,1.7020263671875
9,9530,2.010868549346924
10,8778,2.2127349376678467
11,10146,2.305682420730591
12,11346,1.5051579475402832
13,10595,6.659193754196167
14,8711,6.229456186294556
15,11111,6.219447135925293
16,13429,6.70818567276001
17,10636,6.669170618057251
18,8738,6.008565664291382
19,11287,7.388756513595581
20,13605,6.694173812866211
21,10595,6.105510950088501
22,8711,6.140506267547607
23,11111,6.085522174835205
24,13355,6.103513240814209
25,16619,35.371766328811646
26,14114,35.049986839294434
27,18714,35.31181883811951
28,22967,34.64022135734558
29,16857,36.03242325782776
30,14321,35.61664390563965
31,19121,35.870498180389404
32,23865,36.5301034450531
33,16550,34.68317937850952
34,14045,34.42934012413025
35,18645,34.23845100402832
36,23099,34.60122036933899
37,16537,34.070526123046875
38,14032,34.05252170562744
39,18632,34.22741985321045
40,22954,34.568225383758545
41,8261,2.864382266998291
42,8814,9.601513147354126
43,10336,16.854366779327393
44,11871,2.98531174659729
45,10197,10.096229791641235
46,12228,16.943316221237183
47,13123,3.2071661949157715
48,12459,10.574955940246582
49,13318,18.043687105178833
50,9267,3.3840677738189697
51,9772,13.572242975234985
52,15120,3.7398459911346436
53,12720,12.253015756607056
54,15369,3.788831949234009
55,13367,12.980599880218506
56,26839,45.5759539604187
57,33635,51.02183985710144
58,47950,46.42245101928711
59,36571,48.9900016784668
60,26748,47.723743200302124
61,33541,45.4410285949707
62,47670,51.85334634780884
63,36372,46.06067514419556
64,26748,58.23771691322327
65,33541,52.08623266220093
66,47670,44.91434931755066
67,36486,50.019412994384766
68,26748,47.10706067085266
69,33541,47.92061257362366
70,47691,52.129207134246826
71,36372,53.64832043647766
